0:0.239    1:0.282    2:0.204    3:0.275
0:0.265    1:0.300    2:0.204    3:0.231
0:0.131    1:0.272    2:0.234    3:0.363
0:0.188    1:0.306    2:0.180    3:0.326
0:0.210    1:0.287    2:0.271    3:0.232
0:0.147    1:0.327    2:0.220    3:0.305
0:0.129    1:0.287    2:0.240    3:0.344
0:0.172    1:0.276    2:0.170    3:0.382
0:0.099    1:0.499    2:0.177    3:0.225
0:0.181    1:0.326    2:0.224    3:0.269
0:0.166    1:0.341    2:0.223    3:0.269
0:0.149    1:0.298    2:0.203    3:0.350
0:0.207    1:0.325    2:0.199    3:0.268
0:0.184    1:0.343    2:0.186    3:0.287
0:0.193    1:0.331    2:0.261    3:0.214
0:0.146    1:0.370    2:0.197    3:0.287
0:0.162    1:0.302    2:0.254    3:0.282
0:0.205    1:0.279    2:0.395    3:0.120
0:0.219    1:0.309    2:0.264    3:0.208
0:0.158    1:0.440    2:0.245    3:0.157
0:0.208    1:0.360    2:0.229    3:0.203
0:0.182    1:0.422    2:0.261    3:0.135
0:0.198    1:0.330    2:0.237    3:0.235
0:0.247    1:0.200    2:0.206    3:0.346
0:0.254    1:0.264    2:0.191    3:0.290
0:0.066    1:0.382    2:0.266    3:0.287
0:0.122    1:0.333    2:0.256    3:0.289
0:0.414    1:0.255    2:0.101    3:0.230
0:0.247    1:0.257    2:0.192    3:0.304
0:0.261    1:0.337    2:0.232    3:0.170
0:0.286    1:0.115    2:0.416    3:0.183
0:0.272    1:0.367    2:0.175    3:0.185
0:0.157    1:0.530    2:0.223    3:0.090
0:0.315    1:0.311    2:0.197    3:0.177
0:0.097    1:0.201    2:0.191    3:0.511
0:0.114    1:0.316    2:0.240    3:0.331
0:0.280    1:0.243    2:0.283    3:0.194
0:0.086    1:0.272    2:0.337    3:0.305
0:0.197    1:0.303    2:0.182    3:0.318
0:0.163    1:0.269    2:0.259    3:0.309
0:0.168    1:0.346    2:0.267    3:0.218
0:0.194    1:0.357    2:0.262    3:0.187
0:0.198    1:0.296    2:0.298    3:0.208
0:0.128    1:0.262    2:0.263    3:0.347
0:0.124    1:0.371    2:0.212    3:0.294
0:0.164    1:0.305    2:0.274    3:0.256
0:0.175    1:0.379    2:0.261    3:0.186
0:0.136    1:0.261    2:0.261    3:0.342
0:0.105    1:0.359    2:0.231    3:0.305
0:0.124    1:0.418    2:0.218    3:0.239
0:0.140    1:0.411    2:0.201    3:0.249
0:0.152    1:0.251    2:0.198    3:0.399
0:0.205    1:0.259    2:0.266    3:0.270
0:0.246    1:0.513    2:0.139    3:0.102
0:0.163    1:0.428    2:0.289    3:0.119
0:0.243    1:0.295    2:0.161    3:0.301
0:0.119    1:0.283    2:0.189    3:0.409
0:0.220    1:0.437    2:0.229    3:0.114
0:0.214    1:0.275    2:0.233    3:0.279
0:0.176    1:0.307    2:0.227    3:0.291
0:0.288    1:0.326    2:0.227    3:0.159
0:0.316    1:0.306    2:0.134    3:0.244
0:0.182    1:0.316    2:0.228    3:0.274
0:0.200    1:0.298    2:0.236    3:0.265
0:0.121    1:0.225    2:0.214    3:0.440
0:0.216    1:0.298    2:0.262    3:0.224
0:0.200    1:0.361    2:0.323    3:0.116
0:0.141    1:0.249    2:0.318    3:0.292
